date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:33	13234/13234	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202019%2012:00:26%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/cruise2.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/cruise2.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-all.html)
12:22:33	12244/12244	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202019%2012:00:06%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/cruise1.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/cruise1.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-all.html)
12:22:33	12442/12442	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202019%2012:00:58%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/cruise4.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/cruise4.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-cruise-all.html)
12:22:34	7639/7639	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202019%2012:11:30%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane3.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane3.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-all.html)
12:22:34	10960/10960	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202019%2012:44:14%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane2.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane2.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-all.html)
12:22:34	7427/7427	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202019%2012:10:50%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane1.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane1.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-all.html)
12:22:34	11705/11705	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202019%2012:43:50%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane4.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/plane4.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/listing-flight-all.html)
12:22:35	3193/3193	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Sep%202017%2013:16:02%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/commenter-2.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/commenter-2.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings.html)
12:22:35	3811/3811	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Sep%202017%2013:15:40%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/commenter-3.jpg	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/commenter-3.jpg	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/bookings.html)
12:22:37	72939/72939	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202019%2012:42:10%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/logo.png	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/images/logo.png	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/form-login.html)
12:22:37	548321/548321	---M--	200	added ('OK')	application/javascript	date:Mon,%2004%20Mar%202019%2012:14:10%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/ckeditor5-build-classic/ckeditor.js	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/ckeditor5-build-classic/ckeditor.js	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/messages-compose.html)
12:22:37	201/201	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2006:55:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_both.png	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_both.png	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/datatables.min.css)
12:22:37	160/160	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2006:55:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_asc.png	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_asc.png	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/datatables.min.css)
12:22:38	158/158	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2006:55:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_desc.png	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_desc.png	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/datatables.min.css)
12:22:38	148/148	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2006:55:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_asc_disabled.png	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_asc_disabled.png	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/datatables.min.css)
12:22:38	146/146	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2006:55:16%20GMT	https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_desc_disabled.png	C:/Users/Orange/Desktop/Admin%20Dash/AdminDashboard/kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/DataTables-1.10.18/images/sort_desc_disabled.png	(from https://kiswa.net/themes/star-travel/demo/demo-ltr/admin-demo/vendors/datatables/datatables.min.css)
